Lake,Date,Species,HW,OWPL,FM_Name,SamplingRound,,,,,,
Fayetteville,11/17/2016,ENBA,6.3,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.5,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.7,3.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.2,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.5,3.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.8,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.8,3.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.2,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.3,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.4,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.1,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.2,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.4,3.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.4,4.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.6,1.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6,4.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.9,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.8,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.4,4.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.3,4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.1,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.1,2.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.3,4.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.3,2.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.4,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.7,1.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.1,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.3,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.6,4.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.6,4.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.3,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.4,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.6,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.3,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.7,4.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6,4.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.2,2.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.7,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.2,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.9,3.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.9,4.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.3,5.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.7,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.7,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.2,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.7,4.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.5,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.7,1.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,4.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.3,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.6,1.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.2,1.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.1,0.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.7,1.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.5,1.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,5.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.7,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.4,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.6,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.1,1.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.8,1.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.7,4.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.6,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.7,2.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.1,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.4,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,4.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.8,2.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.1,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,1.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.4,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.9,4.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.7,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.3,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.3,2.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.4,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,1.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,2.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.8,1.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.4,1.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,4.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,3.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.5,1.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.5,4.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.7,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.5,1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,1.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.5,1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.7,1.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.1,2.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.1,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,4.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,3.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.6,1.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,1.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.8,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.2,5.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.5,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.7,3.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.1,3.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,5.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,2.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.4,3.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.8,2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,4.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.5,0.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.8,1.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.5,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.6,4.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.8,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.7,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.1,2.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.2,1.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.8,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.7,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.1,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4,1.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,3.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.4,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.8,5.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.8,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.5,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.2,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.8,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.1,2.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.4,1.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.5,1.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.7,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.2,2.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.2,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.3,3.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.5,1.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.1,3.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.8,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.5,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.8,1.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.6,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.2,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.5,1.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.2,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.4,2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.7,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,4.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.8,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.9,3.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.8,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.2,3.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.9,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.8,3.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.9,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.3,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.8,5.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.7,1.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.8,3.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,1.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.3,0.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,1.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.8,3.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.4,5.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.3,4.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.3,1.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.5,1.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.6,1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.3,5.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.7,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.2,0.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.5,2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.6,0.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.3,1.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.6,1.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.1,1.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.7,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,5.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.8,3.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.6,4.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.2,5.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,1.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.7,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.9,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,4.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.5,2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,3.4,1.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.8,3.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.5,4.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.8,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.7,1.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.6,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.7,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,4.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.3,2.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.4,2.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,3.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.4,1.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.4,1.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,2.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,4.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.7,5.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.2,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.8,4.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.2,5.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.2,5.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.4,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.2,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.2,2.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.6,3.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,1.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.3,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,4.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.2,5.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,7.1,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.3,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.4,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4.6,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.6,5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.7,4.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,6.6,5.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,4,1.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENSI,5.5,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,3.4,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,5.2,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,5.3,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,4.8,1.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,5.1,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,5,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,4.7,2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,5,2.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,6.2,4.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,5.1,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,4,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,4.2,1.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,4.5,2.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,6.2,4.2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,3.5,0.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,3.9,1.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,3,0.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,3.3,0.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENDI,3.2,0.8,LakeFayetteville,2,,,,,,
